ID,Type,Priority,Operation,Scheme,Water (ML),Date
105004,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
105005,#N/A,Medium,East Barron ,Mareeba Dimbulah,0.307,2017-2018 Q1
105008,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105010,#N/A,Medium,East Barron ,Mareeba Dimbulah,2.799,2017-2018 Q1
105016,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105020,#N/A,Medium,West Barron ,Mareeba Dimbulah,2.99,2017-2018 Q1
105022,#N/A,Medium,South Walsh ,Mareeba Dimbulah,2.37,2017-2018 Q1
105023,#N/A,Medium,South Walsh ,Mareeba Dimbulah,6.2,2017-2018 Q1
105026,#N/A,Medium,West Barron ,Mareeba Dimbulah,23.88,2017-2018 Q1
105030,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0.93,2017-2018 Q1
105036,#N/A,Medium,West Barron ,Mareeba Dimbulah,0,2017-2018 Q1
105037,#N/A,#N/A,#N/A,#N/A,0.01,2017-2018 Q1
105038,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0.156,2017-2018 Q1
105042,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,1.566,2017-2018 Q1
105046,#N/A,#N/A,#N/A,#N/A,12.57,2017-2018 Q1
105047,#N/A,#N/A,#N/A,#N/A,3.435,2017-2018 Q1
105051,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,0,2017-2018 Q1
105060,#N/A,Medium,East Barron ,Mareeba Dimbulah,26.664,2017-2018 Q1
105062,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0.28,2017-2018 Q1
105069,#N/A,Medium,South Walsh ,Mareeba Dimbulah,1.473,2017-2018 Q1
105075,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105079,#N/A,Medium,South Walsh ,Mareeba Dimbulah,121.771,2017-2018 Q1
105080,#N/A,Medium,West Barron ,Mareeba Dimbulah,0,2017-2018 Q1
105081,#N/A,Medium,West Barron ,Mareeba Dimbulah,24.487,2017-2018 Q1
105083,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
105084,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105085,#N/A,Medium,Mareeba ,Mareeba Dimbulah,15.153,2017-2018 Q1
105087,#N/A,#N/A,#N/A,#N/A,181.54,2017-2018 Q1
105088,#N/A,#N/A,#N/A,#N/A,4.37,2017-2018 Q1
105090,#N/A,#N/A,#N/A,#N/A,2.548,2017-2018 Q1
105094,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0.9,2017-2018 Q1
105095,#N/A,Medium,West Barron ,Mareeba Dimbulah,92.968,2017-2018 Q1
105096,#N/A,Medium,South Walsh ,Mareeba Dimbulah,10.918,2017-2018 Q1
105098,#N/A,Medium,Mareeba ,Mareeba Dimbulah,347.527,2017-2018 Q1
105099,#N/A,Medium,West Barron ,Mareeba Dimbulah,116.587,2017-2018 Q1
105100,#N/A,Medium,South Walsh ,Mareeba Dimbulah,35.95,2017-2018 Q1
105101,#N/A,Medium,South Walsh ,Mareeba Dimbulah,31.459,2017-2018 Q1
105105,#N/A,#N/A,#N/A,#N/A,13.129,2017-2018 Q1
105106,#N/A,Medium,Mareeba ,Mareeba Dimbulah,2.95,2017-2018 Q1
105110,#N/A,Medium,South Walsh ,Mareeba Dimbulah,6.16,2017-2018 Q1
105114,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105116,#N/A,#N/A,#N/A,#N/A,78.272,2017-2018 Q1
105118,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
105119,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,37.443,2017-2018 Q1
105121,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105123,#N/A,Medium,Mareeba ,Mareeba Dimbulah,14.64,2017-2018 Q1
105126,#N/A,Medium,East Barron ,Mareeba Dimbulah,29.662,2017-2018 Q1
105129,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0.011,2017-2018 Q1
105137,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
105139,#N/A,Medium,Biboohra,Mareeba Dimbulah,0.66,2017-2018 Q1
105140,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
105146,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105147,#N/A,#N/A,#N/A,#N/A,8.51,2017-2018 Q1
105148,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0.797,2017-2018 Q1
105150,#N/A,#N/A,#N/A,#N/A,0.95,2017-2018 Q1
105153,#N/A,Medium,South Walsh ,Mareeba Dimbulah,25.2,2017-2018 Q1
105155,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105156,#N/A,#N/A,#N/A,#N/A,0.63,2017-2018 Q1
105158,#N/A,Medium,Mareeba ,Mareeba Dimbulah,45.706,2017-2018 Q1
105163,#N/A,Medium,Mareeba ,Mareeba Dimbulah,35.685,2017-2018 Q1
105165,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
105166,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0.997,2017-2018 Q1
105170,#N/A,Medium,West Barron ,Mareeba Dimbulah,0,2017-2018 Q1
105171,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
105173,#N/A,Medium,West Barron ,Mareeba Dimbulah,4.7,2017-2018 Q1
105175,#N/A,Medium,Paddys Green relift ,Mareeba Dimbulah,0.071,2017-2018 Q1
105176,#N/A,Medium,South Walsh ,Mareeba Dimbulah,36.231,2017-2018 Q1
105177,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105180,#N/A,Medium,Paddys Green relift ,Mareeba Dimbulah,1.034,2017-2018 Q1
105189,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,51.99,2017-2018 Q1
105191,#N/A,#N/A,#N/A,#N/A,25.7,2017-2018 Q1
105193,#N/A,Medium,East Barron ,Mareeba Dimbulah,7.241,2017-2018 Q1
