Region,Scheme,Profit Centre,Offtake #,% of Total Water Delivered,Average Delivery,2023 Water Delivered to Date
#N/A,#N/A,#N/A,23/032,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C109,0.00%,#N/A,#N/A
North,Bowen Broken,Eungella Offtakes,E05,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D44,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,FMC0056,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,C170,0.00%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,62922,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,20/177A,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG221,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,26/350A,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,BEM0012,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C067 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,BEM0004,0.00%,#N/A,#N/A
South,Chinchilla Weir,Chinchilla River,6690,0.00%,#N/A,#N/A
South,Non-scheme,Dumaresq - DRIP,151863,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG071,0.00%,#N/A,#N/A
North,Bowen Broken,Eungella Offtakes,E09,0.00%,#N/A,#N/A
Burnett and Lower Mary,Barker Barambah,Barker Bar River,60227,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,E31,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,FMC0043,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1010,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C184 BYR,0.00%,#N/A,#N/A
North,Bowen Broken,Collinsville Pipe,CSTK04D,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D41,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C20014,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D15,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG331,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C183 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,C116,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,DH10011,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,C247,0.00%,#N/A,#N/A
North,Bowen Broken,Eungella Offtakes,E24,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,386,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Woongarra System,AL30001,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,DH10021,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Woongarra System,AMC0024,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,C560,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D14,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D01,0.00%,#N/A,#N/A
North,Bowen Broken,Eungella Offtakes,E19,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,CMC0052,0.00%,#N/A,#N/A
Burnett and Lower Mary,Barker Barambah,Barker Bar River,47341,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1205,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,FMC0051,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,C070009,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C094 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C065 BYR,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,21/429,0.00%,#N/A,#N/A
North,Bowen Broken,Collinsville Pipe,CSTK04B,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG051,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1101,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,C050013,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C10006,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C21006,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,23/28A,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,588,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,2,0.00%,#N/A,#N/A
North,Proserpine River,Proserpine River,004P,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1038,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,23/016A,0.00%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,47018,0.00%,#N/A,#N/A
South,Non-scheme,Dumaresq - DRIP,408864,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D27,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,94,0.00%,#N/A,#N/A
Central,Lower Fitzroy,Stanwell Pipe,102136,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG371,0.00%,#N/A,#N/A
Central,Callide Valley,Callide Benefit Area,622971,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,212,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,907,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Nogoa River,FD050,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,492,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1148,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,246,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin Main Channel,GGM0007,0.00%,#N/A,#N/A
North,Proserpine River,Proserpine River,365P,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D26,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D35,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,94580CVA,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C013 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C089 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,B024008,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,B024013,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,C230,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C034 BYR,0.00%,#N/A,#N/A
Central,Lower Fitzroy,Stanwell Pipe,102201,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C182 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C056 BYR,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Blackwater Pipe,BLA082,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C10025,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,DH10025,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,C509,0.00%,#N/A,#N/A
North,Bowen Broken,Collinsville Pipe,CSTK04G,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,24/231A,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C20005,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C033 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C173 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,FMC0045,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C032 BYR,0.00%,#N/A,#N/A
North,Bowen Broken,Collinsville Pipe,CSTK02,0.00%,#N/A,#N/A
Burnett and Lower Mary,Barker Barambah,Barker Bar River,52156,0.00%,#N/A,#N/A
North,Bowen Broken,Eungella Offtakes,E01C,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C117 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,C120,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C008 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,C050012,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C185 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,21603,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Abbotsford System,ABM0010,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C650,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C188 BYR,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D13,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C20009,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C018 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,B024010,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Blackwater Pipe,BLA091 - Rubbish,0.00%,#N/A,#N/A
North,Burdekin Haughton,Clare System,CB075W1,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C090 BYR,0.00%,#N/A,#N/A
Central,Lower Fitzroy,Stanwell Pipe,516581,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C014 BYR,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D36,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,666,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1073,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,32012,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,C043,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D36A,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG041,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,C510,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,C060008,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,831,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG293,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C021 BYR,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,34/514,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C179 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,C137,0.00%,#N/A,#N/A
North,Bowen Broken,Collinsville Pipe,CSTK04E,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gooburrum System,G080004,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C066 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Lower Mary River,Tinana Creek,105066,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,34/507,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C027 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,125,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,581,0.00%,#N/A,#N/A
Central,Callide Valley,Callide Benefit Area,327171,0.00%,#N/A,#N/A
North,Bowen Broken,Eungella Offtakes,E03,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,FMC0040,0.00%,#N/A,#N/A
North,Proserpine River,Proserpine River,188P,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,C070004,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,20/157,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C024 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1092,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1154,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D04,0.00%,#N/A,#N/A
Burnett and Lower Mary,Barker Barambah,Barker Bar River,56350,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C180 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C062 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C077 BYR,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,24/208,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C082 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1090,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C025 BYR,0.00%,#N/A,#N/A
North,Burdekin Haughton,Clare System,CB052W2,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,30314,0.00%,#N/A,#N/A
Central,Callide Valley,Callide Benefit Area,71868,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C001 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C071 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,859,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,946,0.00%,#N/A,#N/A
North,Bowen Broken,Eungella Offtakes,E06A,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1153,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,34/513,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C146,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C424,0.00%,#N/A,#N/A
North,Proserpine River,Proserpine River,355P,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C181 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,C130,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,BE20001,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,C196,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C526,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG304,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,46989,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,1207,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,C060007,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,DH40001,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,20/011A,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C074 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C338,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,B170002,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C038 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gooburrum System,G071002,0.00%,#N/A,#N/A
Burnett and Lower Mary,Lower Mary River,Lower Mary R Barrage,61181,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D32A,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,21/428,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,790,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C168 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1018,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,24/230,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Kolan B & Bucca WR,405833,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG305,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C078 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C307,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C004,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,F091103,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,CMC0029,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Nogoa Hwks,FD070,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,610,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,70,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Blackwater Pipe,BLA112,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C176 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,983,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C044 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,58,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D06,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C035 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,C081003,0.00%,#N/A,#N/A
North,Bowen Broken,Gattonvale,GOSS4,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C192,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C009 BYR,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,20/150A,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gooburrum System,G020002,0.00%,#N/A,#N/A
South,St George,St George River,BJ34,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C054 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C011 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C020 BYR,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,101W2,0.00%,#N/A,#N/A
North,Bowen Broken,Eungella Offtakes,E03A,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gooburrum System,G012002,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C20013,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C635,0.00%,#N/A,#N/A
South,Upper Condamine Supply,Condamine River,10637r1,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C644,0.00%,#N/A,#N/A
North,Bowen Broken,Collinsville Pipe,CSTK13,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG441,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,CMC0048,0.00%,#N/A,#N/A
Central,Lower Fitzroy,Stanwell Pipe,516551,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,738,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,856,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,BMC0013,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,21/452,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,721,0.00%,#N/A,#N/A
North,Burdekin Haughton,Clare System,CB024W1,0.00%,#N/A,#N/A
North,Bowen Broken,Eungella Offtakes,E08,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C093 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,C215,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,C050004,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C022,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,24/248,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C20012,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,379,0.00%,#N/A,#N/A
Central,Nogoa Mackenzie,Gregory Offtakes,GREG302,0.00%,#N/A,#N/A
South,Macintyre Brook,Macintyre River,GI060,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C016 BYR,0.00%,#N/A,#N/A
South,Macintyre Brook,Macintyre River,GI315,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C124 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C186 BYR,0.00%,#N/A,#N/A
North,Bowen Broken,Collinsville Pipe,CSTK08a,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,47038,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,012P1,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1083,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,B123006,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C017 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C592,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1110,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C539,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C116 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,265,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,95188,0.00%,#N/A,#N/A
South,St George,St George River,BJ28,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C380,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,C20007,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,C242,0.00%,#N/A,#N/A
Burnett and Lower Mary,Lower Mary River,Lower Mary R Barrage,100012,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,34/504,0.00%,#N/A,#N/A
South,St George,St George River,BJ1,0.00%,#N/A,#N/A
Burnett and Lower Mary,Barker Barambah,Barker Bar River,60216,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,21/407C,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1001,0.00%,#N/A,#N/A
South,Upper Condamine Supply,Condamine River,7446,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,GVM0004,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C019 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Lower Mary River,Tinana Creek,42000,0.00%,#N/A,#N/A
North,Bowen Broken,Collinsville Pipe,CSTK04A,0.00%,#N/A,#N/A
Central,Callide Valley,Callide Benefit Area,52400,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burdekin River,6005,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C121 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C005 BYR,0.00%,#N/A,#N/A
#N/A,#N/A,#N/A,25/267,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,BMC0061,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D24,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C082,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,BMC0045,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,C605,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,C050009,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C174 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,C598,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,C115,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Gin Gin/Bingerra Sys,B090004,0.00%,#N/A,#N/A
South,Macintyre Brook,Macintyre River,GI210,0.00%,#N/A,#N/A
North,Proserpine River,Proserpine River,300P,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,GVM0019,0.00%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,6499,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,620,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C053 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,465,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C080 BYR,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Abbotsford System,ABM0005,0.00%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Isis System,DH20009,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D45,0.00%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Tarong Pipe,C086 BYR,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,301,0.00%,#N/A,#N/A
North,Burdekin Haughton,Burd Moran Pipe,BMP S&D32,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1051,0.00%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,555,0.00%,#N/A,#N/A
